à 'a functional
ç' 's 
épousèrent e-pu-'zER 
poussé pu-'se 
poussa pu-'sa 
poussage pu-'saZ 
poussah pu-'sa 
poussaient pu-'sE 
poussait pu-'sE 
poussant pu-'sa~ 
pousse 'pus 
poussée pu-'se 
poussee pu-'si 
poussees pu-'si 
poussent 'pus 
pousse-pousse pu-s@-'pus 
pousser pu-'se 
poussera pu-s@-'Ra 
pousseraient pu-s@-'RE 
pousserait pu-s@-'RE 
pousserent pu-s@-'Ra~ 
pousseront pu-s@-'Ro~ 
pousses 'pus 
poussées pu-'se 
épousseter e-pu-s@-'te 
poussette pu-'sEt 
époussette e-pu-'sEt 
poussettes pu-'sEt 
pousseur pu-'s9R 
pousseurs pu-'s9R 
poussez pu-'se 
poussier pu-'sje 
poussiere pu-'siR 
poussieres pu-'siR 
poussiereuse pu-si-'R9z 
poussiereuses pu-si-'R9z 
poussiereux pu-si-'R@ 
poussif pu-'sif 
poussifs pu-'sif 
poussin pu-'se~ 
poussins pu-'se~ 
poussière pu-'sjER 
poussières pu-'sjER 
poussiéreuse pu-sje-'R9z 
poussiéreuses pu-sje-'R9z 
poussiéreux pu-sje-'R@ 
poussive pu-'siv 
poussives pu-'siv 
poussons pu-'so~ 
poussèrent pu-'sER 
poussés pu-'se 
époustouflé e-pus-tu-'fle 
époustouflant e-pus-tu-'fla~ 
époustouflante e-pus-tu-'fla~t 
époustouflantes e-pus-tu-'fla~t 
époustouflants e-pus-tu-'fla~ 
époustouflés e-pus-tu-'fle 
poutre pu-'tR@ 
poutrelle pu-'tREl 
poutrelles pu-'tREl 
poutres pu-'tR@ 
pouvaient pu-'vE 
pouvais pu-'vE 
pouvait pu-'vE 
pouvant pu-'va~ 
épouvanté e-pu-va~-'te 
épouvantable e-pu-va~-ta-'bl@ 
épouvantables e-pu-va~-ta-'bl@ 
épouvantail e-pu-va~-'taj 
épouvantails e-pu-va~-'taj 
épouvante e-pu-'va~t 
épouvantée e-pu-va~-'te 
épouvantent e-pu-'va~t 
épouvanter e-pu-va~-'te 
épouvantes e-pu-'va~t 
épouvantés e-pu-va~-'te 
pouvez pu-'ve 
pouviez pu-'vjE 
pouvions pu-'vjo~ 
pouvoir pu-'vwaR 
pouvoirs pu-'vwaR 
pouvons pu-'vo~ 
poux 'pu 
époux e-'pu 
powell po-'wEl 
pozsgay pOzs-'ge 
pépée pe-'pe 
pépées pe-'pe 
pépiement pe-pi-'ma~ 
pépiements pe-pi-'ma~ 
pépin pe-'pe~ 
pépinière pe-pi-'njER 
pépinières pe-pi-'njER 
pépiniériste pe-pi-nje-Ris-'t@ 
pépiniéristes pe-pi-nje-Ris-'t@ 
pépins pe-'pe~ 
pépite pe-'pit 
pépites pe-'pit 
péplum pe-'plOm 
péplums pe-'plOm 
pépère pe-'pER 
pépères pe-'pER 
pâque 'pak 
péquenot pe-k@-'no 
péquenots pe-k@-'no 
pâquerette pa-k@-'REt 
pâquerettes pa-k@-'REt 
pâques 'pak 
pâques 'pak 
péquin pe-'ke~ 
# pr.
pré 'pRe 
# pr.
pr pe-'ER 
préaccord pRe-a-'kOR 
préacheté pRe-a-S@-'te 
prada pRa-'da 
pradesh pRa-'dES 
praesidium pRE-zi-'djOm 
pragmatique pRa-gma-'tik 
pragmatiquement pRa-gma-ti-k@-'ma~ 
pragmatiques pRa-gma-'tik 
pragmatisme pRa-gma-ti-'sm@ 
prague 'pRag 
praires 'pRER 
prairial pRE-'Rjal 
prairie pRE-'Ri 
prairies pRE-'Ri 
préalable pRe-a-la-'bl@ 
préalablement pRe-a-la-bl@-'ma~ 
préalables pRe-a-la-'bl@ 
praline pRa-'lin 
pralines pRa-'lin 
préambule pRe-a~-'byl 
préambules pRe-a~-'byl 
prandini pRa~-di-'ni 
praticable pRa-ti-ka-'bl@ 
praticables pRa-ti-ka-'bl@ 
praticien pRa-ti-'sje~ 
praticienne pRa-ti-'sjEn 
praticiens pRa-ti-'sje~ 
pratiqué pRa-ti-'ke 
pratiqua pRa-ti-'ka 
pratiquaient pRa-ti-'kE 
pratiquais pRa-ti-'kE 
pratiquait pRa-ti-'kE 
pratiquant pRa-ti-'ka~ 
pratiquante pRa-ti-'ka~t 
pratiquants pRa-ti-'ka~ 
pratique pRa-'tik 
pratiquée pRa-ti-'ke 
pratiquee pRa-ti-'ki 
pratiquees pRa-ti-'ki 
pratiquement pRa-ti-k@-'ma~ 
pratiquent pRa-'tik 
pratiquer pRa-ti-'ke 
pratiquera pRa-ti-k@-'Ra 
pratiqueraient pRa-ti-k@-'RE 
pratiquerait pRa-ti-k@-'RE 
pratiquerent pRa-ti-k@-'Ra~ 
pratiquerons pRa-ti-k@-'Ro~ 
pratiqueront pRa-ti-k@-'Ro~ 
pratiques pRa-'tik 
pratiquées pRa-ti-'ke 
pratiquez pRa-ti-'ke 
pratiquions pRa-ti-'kjo~ 
pratiquons pRa-ti-'ko~ 
pratiquèrent pRa-ti-'kER 
pratiqués pRa-ti-'ke 
préau pRe-'o 
préaux pRe-'o 
pravda pRav-'da 
préavis pRe-a-'vi 
praxinoscope pRa-ksi-nOs-'kOp 
praxis pRa-'ksis 
prébende pRe-'ba~d 
prébendes pRe-'ba~d 
précaire pRe-'kER 
précaires pRe-'kER 
précarisation pRe-ka-Ri-za-'sjo~ 
précarité pRe-ka-Ri-'te 
précarités pRe-ka-Ri-'te 
précaution pRe-ko-'sjo~ 
précautionneuse pRe-ko-sjO-'n9z 
précautionneusement pRe-ko-sjO-n9-z@-'ma~ 
précautionneuses pRe-ko-sjO-'n9z 
précautionneux pRe-ko-sjO-'n@ 
précautions pRe-ko-'sjo~ 
précédé pRe-se-'de 
précéda pRe-se-'da 
précédaient pRe-se-'dE 
précédait pRe-se-'dE 
précédant pRe-se-'da~ 
précède pRe-'sEd 
précédée pRe-se-'de 
précédemment pRe-se-da-'ma~ 
précédent pRe-se-'da~ 
précédente pRe-se-'da~t 
précédentes pRe-se-'da~t 
précédents pRe-se-'da~ 
précéder pRe-se-'de 
précédera pRe-se-d@-'Ra 
précéderait pRe-se-d@-'RE 
précéderont pRe-se-d@-'Ro~ 
précédées pRe-se-'de 
précédèrent pRe-se-'dER 
précédés pRe-se-'de 
précepte pRe-'sEpt 
préceptes pRe-'sEpt 
précepteur pRe-sE-'pt9R 
précepteurs pRe-sE-'pt9R 
préceptrice pRe-sE-'ptRis 
prêché pRe-'Se 
prêcha pRE-'Sa 
prêchaient pRE-'SE 
prêchait pRE-'SE 
prêchant pRE-'Sa~ 
prêche 'pRES 
prêchée pRE-'Se 
prêchent 'pRES 
prêcher pRe-'Se 
prêchera pRE-S@-'Ra 
prêches 'pRES 
prêcheur pRE-'S9R 
prêcheurs pRE-'S9R 
prêchez pRe-'Se 
prêchi-prêcha pRE-Si-pRE-'Sa 
précieuse pRe-'sj9z 
précieusement pRe-sj9-z@-'ma~ 
précieuses pRe-'sj9z 
précieux pRe-'sj@ 
préciosité pRe-sjO-zi-'te 
préciosités pRe-sjO-zi-'te 
précipice pRe-si-'pis 
précipices pRe-si-'pis 
précipité pRe-si-pi-'te 
précipita pRe-si-pi-'ta 
précipitaient pRe-si-pi-'tE 
précipitait pRe-si-pi-'tE 
précipitamment pRe-si-pi-ta-'ma~ 
précipitant pRe-si-pi-'ta~ 
précipitation pRe-si-pi-ta-'sjo~ 
précipitations pRe-si-pi-ta-'sjo~ 
précipite pRe-si-'pit 
précipitée pRe-si-pi-'te 
précipitent pRe-si-'pit 
précipiter pRe-si-pi-'te 
précipitera pRe-si-pi-t@-'Ra 
précipiteraient pRe-si-pi-t@-'RE 
précipiterait pRe-si-pi-t@-'RE 
précipiteront pRe-si-pi-t@-'Ro~ 
précipitées pRe-si-pi-'te 
précipitez pRe-si-pi-'te 
précipitons pRe-si-pi-'to~ 
précipitèrent pRe-si-pi-'tER 
précipités pRe-si-pi-'te 
précis pRe-'si 
précisé pRe-si-'ze 
précisa pRe-si-'za 
précisaient pRe-si-'zE 
précisait pRe-si-'zE 
précisant pRe-si-'za~ 
précise pRe-'siz 
précisée pRe-si-'ze 
précisent pRe-'siz 
préciser pRe-si-'ze 
précisera pRe-si-z@-'Ra 
préciserai pRe-si-z@-'RE 
préciserait pRe-si-z@-'RE 
préciserons pRe-si-z@-'Ro~ 
préciseront pRe-si-z@-'Ro~ 
précises pRe-'siz 
précisées pRe-si-'ze 
précisez pRe-si-'ze 
précision pRe-si-'zjo~ 
précisions pRe-si-'zjo~ 
précisément pRe-si-ze-'ma~ 
précisons pRe-si-'zo~ 
précisèrent pRe-si-'zER 
précisés pRe-si-'ze 
précité pRe-si-'te 
précitée pRe-si-'te 
précitées pRe-si-'te 
précités pRe-si-'te 
précoce pRe-'kOs 
précocement pRe-kO-s@-'ma~ 
précoces pRe-'kOs 
précocité pRe-kO-si-'te 
précolombien pRe-kO-lo~-'bje~ 
précolombienne pRe-kO-lo~-'bjEn 
précolombiennes pRe-kO-lo~-'bjEn 
précolombiens pRe-kO-lo~-'bje~ 
précompte pRe-'ko~t 
précompétitive pRe-ko~-pe-ti-'tiv 
préconisé pRe-kO-ni-'ze 
préconisa pRe-kO-ni-'za 
préconisaient pRe-kO-ni-'zE 
préconisais pRe-kO-ni-'zE 
préconisait pRe-kO-ni-'zE 
préconisant pRe-kO-ni-'za~ 
préconisation pRe-kO-ni-za-'sjo~ 
préconisations pRe-kO-ni-za-'sjo~ 
préconise pRe-kO-'niz 
préconisée pRe-kO-ni-'ze 
préconisent pRe-kO-'niz 
préconiser pRe-kO-ni-'ze 
préconisera pRe-kO-ni-z@-'Ra 
préconiserait pRe-kO-ni-z@-'RE 
préconisées pRe-kO-ni-'ze 
préconisez pRe-kO-ni-'ze 
préconisons pRe-kO-ni-'zo~ 
préconisèrent pRe-kO-ni-'zER 
préconisés pRe-kO-ni-'ze 
précontraint pRe-ko~-'tRe~ 
préconçu pRe-ko~-'sy 
préconçue pRe-ko~-'sy 
préconçues pRe-ko~-'sy 
précurseur pRe-ky-'Rs9R 
précurseurs pRe-ky-'Rs9R 
prédateur pRe-da-'t9R 
prédateurs pRe-da-'t9R 
prédation pRe-da-'sjo~ 
prédatrice pRe-da-'tRis 
prédécesseur pRe-de-se-'s9R 
prédécesseurs pRe-de-se-'s9R 
prédestiné pRe-dEs-ti-'ne 
prédestinait pRe-dEs-ti-'nE 
prédestination pRe-dEs-ti-na-'sjo~ 
prédestine pRe-dEs-'tin 
prédestinée pRe-dEs-ti-'ne 
prédestinées pRe-dEs-ti-'ne 
prédestinés pRe-dEs-ti-'ne 
prédicat pRe-di-'ka 
prédicateur pRe-di-ka-'t9R 
prédicateurs pRe-di-ka-'t9R 
prédication pRe-di-ka-'sjo~ 
prédications pRe-di-ka-'sjo~ 
prédiction pRe-di-'ksjo~ 
prédictions pRe-di-'ksjo~ 
prédictive pRe-di-'ktiv 
prédilection pRe-di-lE-'ksjo~ 
prédilections pRe-di-lE-'ksjo~ 
prédire pRe-'diR 
prédis pRe-'di 
prédisaient pRe-di-'zE 
prédisait pRe-di-'zE 
prédisant pRe-di-'za~ 
prédisent pRe-'diz 
prédisposé pRe-dis-pO-'ze 
prédisposaient pRe-dis-pO-'zE 
prédisposait pRe-dis-pO-'zE 
prédisposant pRe-dis-pO-'za~ 
prédispose pRe-dis-'poz 
prédisposée pRe-dis-pO-'ze 
prédisposent pRe-dis-'poz 
prédisposer pRe-dis-po-'ze 
prédisposition pRe-dis-pO-zi-'sjo~ 
prédispositions pRe-dis-pO-zi-'sjo~ 
prédisposés pRe-dis-pO-'ze 
prédit pRe-'di 
prédite pRe-'dit 
prédites pRe-'dit 
prédits pRe-'di 
prédominé pRe-dO-mi-'ne 
prédominaient pRe-dO-mi-'nE 
prédominait pRe-dO-mi-'nE 
prédominance pRe-dO-mi-'na~s 
prédominant pRe-dO-mi-'na~ 
prédominante pRe-dO-mi-'na~t 
prédominantes pRe-dO-mi-'na~t 
prédominants pRe-dO-mi-'na~ 
prédomine pRe-dO-'min 
prédominent pRe-dO-'min 
prédominer pRe-dO-mi-'ne 
prédéterminé pRe-de-tE-Rmi-'ne 
prédétermine pRe-de-tE-'Rmin 
prédéterminée pRe-de-tE-Rmi-'ne 
prédéterminer pRe-de-tE-Rmi-'ne 
prédéterminées pRe-de-tE-Rmi-'ne 
prédéterminés pRe-de-tE-Rmi-'ne 
pre 'pR@ 
âpre a-'pR@ 
père 'pER 
preaccord pRa-'kOR 
preachete pRa-'S@t 
prealable pRa-la-'bl@ 
prealablement pRa-la-bl@-'ma~ 
prealables pRa-la-'bl@ 
preambule pRa~-'byl 
preambules pRa~-'byl 
preau 'pRo 
preaux 'pRo 
preavis pRa-'vi 
prebende pR@-''ba~d 
prebendes pR@-''ba~d 
precaire pR@-''kER 
precaires pR@-''kER 
precarisation pR@-'ka-Ri-za-'sjo~ 
precarite pR@-'ka-'Rit 
precarites pR@-'ka-'Rit 
precaution pR@-'ko-'sjo~ 
precautionneuse pR@-'ko-sjO-'n9z 
precautionneusement pR@-'ko-sjO-n9-z@-'ma~ 
precautionneuses pR@-'ko-sjO-'n9z 
precautionneux pR@-'ko-sjO-'n@ 
precautions pR@-'ko-'sjo~ 
preceda pR@-s@-''da 
precedaient pR@-s@-'dE-'a~ 
precedait pR@-s@-''dE 
precedant pR@-s@-''da~ 
precede pR@-'s@d 
precedee pR@-s@-''di 
precedees pR@-s@-''di 
precedemment pR@-s@-'da-'ma~ 
precedent pR@-s@-''da~ 
precedente pR@-s@-''da~t 
precedentes pR@-s@-''da~t 
precedents pR@-s@-''da~ 
preceder pR@-s@-''de 
precedera pR@-s@-d@-''Ra 
precederait pR@-s@-d@-''RE 
precederent pR@-s@-d@-''Ra~ 
precederont pR@-s@-d@-''Ro~ 
precedes pR@-'s@d 
precepte pR@-''sEpt 
preceptes pR@-''sEpt 
precepteur pR@-'sE-'pt9R 
precepteurs pR@-'sE-'pt9R 
preceptrice pR@-'sE-'ptRis 
precha pR@-''Sa 
prechaient pR@-'SE-'a~ 
prechait pR@-''SE 
prechant pR@-''Sa~ 
preche 'pR@S 
prechee pR@-''Si 
prechent pR@-''Sa~ 
precher pR@-''Se 
prechera pR@-S@-''Ra 
preches 'pR@S 
precheur pR@-''S9R 
precheurs pR@-''S9R 
prechez pR@-''Se 
precieuse pR@-''sj9z 
precieusement pR@-'sj9-z@-'ma~ 
precieuses pR@-''sj9z 
precieux pR@-'sj@ 
preciosite pR@-'sjO-'zit 
preciosites pR@-'sjO-'zit 
precipice pR@-'si-'pis 
precipices pR@-'si-'pis 
precipita pR@-'si-pi-'ta 
precipitaient pR@-'si-pi-tE-'a~ 
precipitait pR@-'si-pi-'tE 
precipitamment pR@-'si-pi-ta-'ma~ 
precipitant pR@-'si-pi-'ta~ 
precipitation pR@-'si-pi-ta-'sjo~ 
precipitations pR@-'si-pi-ta-'sjo~ 
precipite pR@-'si-'pit 
precipitee pR@-'si-pi-'ti 
precipitees pR@-'si-pi-'ti 
precipitent pR@-'si-pi-'ta~ 
precipiter pR@-'si-pi-'te 
precipitera pR@-'si-pi-t@-'Ra 
precipiteraient pR@-'si-pi-t@-RE-'a~ 
precipiterait pR@-'si-pi-t@-'RE 
precipiterent pR@-'si-pi-t@-'Ra~ 
precipiteront pR@-'si-pi-t@-'Ro~ 
precipites pR@-'si-'pit 
precipitez pR@-'si-pi-'te 
precipitons pR@-'si-pi-'to~ 
precis pR@-''si 
precisa pR@-'si-'za 
precisaient pR@-'si-zE-'a~ 
precisait pR@-'si-'zE 
precisant pR@-'si-'za~ 
precise pR@-''siz 
precisee pR@-'si-'zi 
precisees pR@-'si-'zi 
precisement pR@-'si-z@-'ma~ 
precisent pR@-'si-'za~ 
preciser pR@-'si-'ze 
precisera pR@-'si-z@-'Ra 
preciserai pR@-'si-z@-'RE 
preciserait pR@-'si-z@-'RE 
preciserent pR@-'si-z@-'Ra~ 
preciserons pR@-'si-z@-'Ro~ 
preciseront pR@-'si-z@-'Ro~ 
precises pR@-''siz 
precisez pR@-'si-'ze 
precision pR@-'si-'zjo~ 
precisions pR@-'si-'zjo~ 
precisons pR@-'si-'zo~ 
precite pR@-''sit 
precitee pR@-'si-'ti 
precitees pR@-'si-'ti 
precites pR@-''sit 
precoce pR@-''kOs 
precocement pR@-'kO-s@-'ma~ 
precoces pR@-''kOs 
precocite pR@-'kO-'sit 
precolombien pR@-'kO-lo~-'bje~ 
precolombienne pR@-'kO-lo~-'bjEn 
precolombiennes pR@-'kO-lo~-'bjEn 
precolombiens pR@-'kO-lo~-'bje~ 
precompetitive pR@-'ko~-p@-ti-'tiv 
precompte pR@-''ko~t 
preconcu pR@-'ko~-'ky 
preconcue pR@-'ko~-'ky 
preconcues pR@-'ko~-'ky 
preconisa pR@-'kO-ni-'za 
preconisaient pR@-'kO-ni-zE-'a~ 
preconisais pR@-'kO-ni-'zE 
preconisait pR@-'kO-ni-'zE 
preconisant pR@-'kO-ni-'za~ 
preconisation pR@-'kO-ni-za-'sjo~ 
preconisations pR@-'kO-ni-za-'sjo~ 
preconise pR@-'kO-'niz 
preconisee pR@-'kO-ni-'zi 
preconisees pR@-'kO-ni-'zi 
preconisent pR@-'kO-ni-'za~ 
preconiser pR@-'kO-ni-'ze 
preconisera pR@-'kO-ni-z@-'Ra 
preconiserait pR@-'kO-ni-z@-'RE 
preconiserent pR@-'kO-ni-z@-'Ra~ 
preconises pR@-'kO-'niz 
preconisez pR@-'kO-ni-'ze 
preconisons pR@-'kO-ni-'zo~ 
precontraint pR@-'ko~-'tRe~ 
precurseur pR@-'ky-'Rs9R 
precurseurs pR@-'ky-'Rs9R 
predateur pR@-'da-'t9R 
predateurs pR@-'da-'t9R 
predation pR@-'da-'sjo~ 
predatrice pR@-'da-'tRis 
predecesseur pR@-d@-'se-'s9R 
predecesseurs pR@-d@-'se-'s9R 
predestinait pR@-'dEs-ti-'nE 
predestination pR@-'dEs-ti-na-'sjo~ 
predestine pR@-'dEs-'tin 
predestinee pR@-'dEs-ti-'ni 
predestinees pR@-'dEs-ti-'ni 
predestines pR@-'dEs-'tin 
predetermine pR@-d@-'tE-'Rmin 
predeterminee pR@-d@-'tE-Rmi-'ni 
predeterminees pR@-d@-'tE-Rmi-'ni 
predeterminer pR@-d@-'tE-Rmi-'ne 
predetermines pR@-d@-'tE-'Rmin 
predicat pR@-'di-'ka 
predicateur pR@-'di-ka-'t9R 
predicateurs pR@-'di-ka-'t9R 
predication pR@-'di-ka-'sjo~ 
predications pR@-'di-ka-'sjo~ 
prediction pR@-'di-'ksjo~ 
predictions pR@-'di-'ksjo~ 
predictive pR@-'di-'ktiv 
predilection pR@-'di-lE-'ksjo~ 
predilections pR@-'di-lE-'ksjo~ 
predire pR@-''diR 
predis pR@-''di 
predisaient pR@-'di-zE-'a~ 
predisait pR@-'di-'zE 
predisant pR@-'di-'za~ 
predisent pR@-'di-'za~ 
predisposaient pR@-'dis-pO-zE-'a~ 
predisposait pR@-'dis-pO-'zE 
predisposant pR@-'dis-pO-'za~ 
predispose pR@-'dis-'poz 
predisposee pR@-'dis-pO-'zi 
predisposent pR@-'dis-po-'za~ 
predisposer pR@-'dis-po-'ze 
predisposes pR@-'dis-'poz 
predisposition pR@-'dis-pO-zi-'sjo~ 
predispositions pR@-'dis-pO-zi-'sjo~ 
predit pR@-''di 
predite pR@-''dit 
predites pR@-''dit 
predits pR@-''di 
predominaient pR@-'dO-mi-nE-'a~ 
predominait pR@-'dO-mi-'nE 
predominance pR@-'dO-mi-'na~s 
predominant pR@-'dO-mi-'na~ 
predominante pR@-'dO-mi-'na~t 
predominantes pR@-'dO-mi-'na~t 
predominants pR@-'dO-mi-'na~ 
predomine pR@-'dO-'min 
predominent pR@-'dO-mi-'na~ 
predominer pR@-'dO-mi-'ne 
preelectoral pRi-lE-ktO-'Ral 
preelectorale pRi-lE-ktO-'Ral 
preelectorales pRi-lE-ktO-'Ral 
preelectoraux pRi-lE-ktO-'Ro 
preeminence pRi-mi-'na~s 
preeminent pRi-mi-'na~ 
preeminente pRi-mi-'na~t 
preemptant pRim-'pta~ 
preempte 'pRimpt 
preemptee pRim-'pti 
preemptees pRim-'pti 
preempter pRim-'pte 
preemptes 'pRimpt 
preemption pRim-'psjo~ 
preemptions pRim-'psjo~ 
preetabli pRi-ta-'bli 
preetablie pRi-ta-'bli 
preetablies pRi-ta-'bli 
preetablis pRi-ta-'bli 
preexistaient pRi-ksis-tE-'a~ 
preexistait pRi-ksis-'tE 
preexistant pRi-ksis-'ta~ 
preexistante pRi-ksis-'ta~t 
preexistantes pRi-ksis-'ta~t 
preexistants pRi-ksis-'ta~ 
preexiste pRi-ksis-'t@ 
preexistent pRi-ksis-'ta~ 
preexister pRi-ksis-'te 
prefabrication pR@-'fa-bRi-ka-'sjo~ 
prefabrique pR@-'fa-'bRik 
prefabriquee pR@-'fa-bRi-'ki 
prefabriquees pR@-'fa-bRi-'ki 
prefabriques pR@-'fa-'bRik 
prefaca pR@-'fa-'ka 
prefacait pR@-'fa-'kE 
prefacant pR@-'fa-'ka~ 
preface pR@-''fas 
prefacee pR@-'fa-'si 
prefacees pR@-'fa-'si 
prefacer pR@-'fa-'se 
prefacera pR@-'fa-s@-'Ra 
prefaces pR@-''fas 
prefacier pR@-'fa-'sje 
prefaciere pR@-'fa-'siR 
prefaciers pR@-'fa-'sje 
prefaisabilite pR@-f@-'za-bi-'lit 
prefectoral pR@-'fE-ktO-'Ral 
prefectorale pR@-'fE-ktO-'Ral 
prefectorales pR@-'fE-ktO-'Ral 
prefectoraux pR@-'fE-ktO-'Ro 
prefecture pR@-'fE-'ktyR 
prefectures pR@-'fE-'ktyR 
prefera pR@-f@-''Ra 
preferable pR@-f@-'Ra-'bl@ 
preferables pR@-f@-'Ra-'bl@ 
preferaient pR@-f@-'RE-'a~ 
preferais pR@-f@-''RE 
preferait pR@-f@-''RE 
preferant pR@-f@-''Ra~ 
preferat pR@-f@-''Ra 
prefere pR@-'f@R 
preferee pR@-f@-''Ri 
preferees pR@-f@-''Ri 
preference pR@-f@-''Ra~s 
preferences pR@-f@-''Ra~s 
preferent pR@-f@-''Ra~ 
preferentiel pR@-f@-'Ra~-'sjEl 
preferentielle pR@-f@-'Ra~-'sjEl 
preferentielles pR@-f@-'Ra~-'sjEl 
preferentiels pR@-f@-'Ra~-'sjEl 
preferer pR@-f@-''Re 
preferera pR@-f@-R@-''Ra 
prefererai pR@-f@-R@-''RE 
prefereraient pR@-f@-R@-'RE-'a~ 
prefererais pR@-f@-R@-''RE 
prefererait pR@-f@-R@-''RE 
prefererent pR@-f@-R@-''Ra~ 
prefererez pR@-f@-R@-''Re 
prefereriez pR@-f@-R@-''RjE 
prefererions pR@-f@-R@-''Rjo~ 
prefereront pR@-f@-R@-''Ro~ 
preferes pR@-'f@R 
preferez pR@-f@-''Re 
preferiez pR@-f@-''RjE 
preferions pR@-f@-''Rjo~ 
preferons pR@-f@-''Ro~ 
prefet pR@-''fE 
prefets pR@-''fE 
prefigura pR@-'fi-gy-'Ra 
prefiguraient pR@-'fi-gy-RE-'a~ 
prefigurait pR@-'fi-gy-'RE 
prefigurant pR@-'fi-gy-'Ra~ 
prefiguration pR@-'fi-gy-Ra-'sjo~ 
prefigurations pR@-'fi-gy-Ra-'sjo~ 
prefigure pR@-'fi-'gyR 
prefiguree pR@-'fi-gy-'Ri 
prefigurent pR@-'fi-gy-'Ra~ 
prefigurer pR@-'fi-gy-'Re 
prefigurera pR@-'fi-gy-R@-'Ra 
prefigurerait pR@-'fi-gy-R@-'RE 
prefinancement pR@-'fi-na~-s@-'ma~ 
prefixe pR@-'fi-'ks@ 
prefixes pR@-'fi-'ks@ 
preformation pR@-'fOR-ma-'sjo~ 
preformes pR@-'fOR-'m@ 
pregnance pR@-''nja~s 
pregnant pR@-''nja~ 
pregnante pR@-''nja~t 
pregnantes pR@-''nja~t 
pregnants pR@-''nja~ 
prehension pR@-'a~-'sjo~ 
prehensions pR@-'a~-'sjo~ 
prehistoire pR@-'is-'twaR 
prehistorien pR@-'is-tOR-'je~ 
prehistoriens pR@-'is-tOR-'je~ 
prehistorique pR@-'is-tO-'Rik 
prehistoriques pR@-'is-tO-'Rik 
prejudice pR@-'Zy-'dis 
prejudices pR@-'Zy-'dis 
prejudiciable pR@-'Zy-di-sja-'bl@ 
prejudiciables pR@-'Zy-di-sja-'bl@ 
prejudiciel pR@-'Zy-di-'sjEl 
prejudicielle pR@-'Zy-di-'sjEl 
prejudicielles pR@-'Zy-di-'sjEl 
prejuge pR@-''ZyZ 
prejugeait pR@-'Zy-'ZE 
prejugeant pR@-'Zy-'Za~ 
prejugent pR@-'Zy-'Za~ 
prejugeons pR@-'Zy-'Zo~ 
prejuger pR@-'Zy-'Ze 
prejugerait pR@-'Zy-Z@-'RE 
prejuges pR@-''ZyZ 
prelasse pR@-''las 
prelassent pR@-'la-'sa~ 
prelasser pR@-'la-'se 
prelat pR@-''la 
prelats pR@-''la 
prele 'pR@l 
prelevaient pR@-l@-'vE-'a~ 
prelevait pR@-l@-''vE 
prelevant pR@-l@-''va~ 
preleve pR@-'l@v 
prelevee pR@-l@-''vi 
prelevees pR@-l@-''vi 
prelevement pR@-l@-v@-''ma~ 
prelevements pR@-l@-v@-''ma~ 
prelevent pR@-l@-''va~ 
prelever pR@-l@-''ve 
prelevera pR@-l@-v@-''Ra 
preleverait pR@-l@-v@-''RE 
preleves pR@-'l@v 
preliminaire pR@-'li-mi-'nER 
preliminaires pR@-'li-mi-'nER 
preludait pR@-'ly-'dE 
preludant pR@-'ly-'da~ 
prelude pR@-''lyd 
preludent pR@-'ly-'da~ 
preluder pR@-'ly-'de 
preludes pR@-''lyd 
premature pR@-'ma-'tyR 
prematuree pR@-'ma-ty-'Ri 
prematurees pR@-'ma-ty-'Ri 
prematurement pR@-'ma-ty-R@-'ma~ 
prematures pR@-'ma-'tyR 
premeditation pR@-m@-'di-ta-'sjo~ 
premedite pR@-m@-''dit 
premeditee pR@-m@-'di-'ti 
premeditees pR@-m@-'di-'ti 
premediter pR@-m@-'di-'te 
premedites pR@-m@-''dit 
âprement a-pR@-'ma~ 
premices pR@-''mis 
premier pR@-''mje 
premiere pR@-''miR 
premierement pR@-'mi-R@-'ma~ 
premieres pR@-''miR 
premier-né pR@-'mje-'ne 
premiers pR@-''mje 
première pR@-''mjER 
premièrement pR@-'mjE-R@-'ma~ 
première-née pR@-'mjE-R@-'ne 
premières pR@-''mjER 
premisse pR@-''mis 
premisses pR@-''mis 
premolaire pR@-'mO-'lER 
premonition pR@-'mO-ni-'sjo~ 
premonitions pR@-'mO-ni-'sjo~ 
premonitoire pR@-'mO-ni-'twaR 
premonitoires pR@-'mO-ni-'twaR 
préempté pRe-a~-'pte 
préemptant pRe-a~-'pta~ 
préemptée pRe-a~-'pte 
préempter pRe-a~-'pte 
préemptées pRe-a~-'pte 
péremption pe-Ra~-'psjo~ 
préemption pRe-a~-'psjo~ 
préemptions pRe-a~-'psjo~ 
péremptoire pe-Ra~-'ptwaR 
péremptoirement pe-Ra~-ptwa-R@-'ma~ 
péremptoires pe-Ra~-'ptwaR 
préemptés pRe-a~-'pte 
premuni pR@-'my-'ni 
premunie pR@-'my-'ni 
premunir pR@-'my-'niR 
premunirait pR@-'my-ni-'RE 
premunis pR@-'my-'ni 
premunissent pR@-'my-ni-'sa~ 
premunit pR@-'my-'ni 
prenaient pR@-''nE 
prenais pR@-''nE 
prenait pR@-''nE 
éprenait e-pR@-'nE 
prenant pR@-''na~ 
prenante pR@-''na~t 
prenantes pR@-''na~t 
prenants pR@-''na~ 
prenatal pR@-'na-'tal 
prenatale pR@-'na-'tal 
prenatales pR@-'na-'tal 
prenataux pR@-'na-'to 
prend 'pRa~ 
éprend e-'pRa~ 
